ID cluster length robot_feedback previous_score current_result current_score engagement action
user_23/session_1 0 7 0 0 -1 -3 0.326026675829 4
user_23/session_1 0 7 1 -3 -1 -3 0.170046450007 3
user_23/session_1 0 9 0 -3 -1 -4 0.35665139208 2
user_23/session_1 0 7 0 -4 1 3 0.34435375962 1
user_23/session_1 0 5 0 3 1 2 0.319679641752 0
user_23/session_1 0 3 0 2 1 1 0.267183330358 4
user_23/session_1 0 3 1 1 1 1 0.0950575838294 1
user_23/session_1 0 5 0 1 1 2 0.186697223306 5
user_23/session_1 0 5 2 2 1 2 0.256478921653 0
user_23/session_1 0 3 0 2 1 1 0.145189459217 4
user_23/session_1 0 3 1 1 1 1 0.301872680602 0
user_23/session_1 0 3 0 1 1 1 0.262826051429 1
user_23/session_1 0 5 0 1 1 2 0.203082799032 5
user_23/session_1 0 5 2 2 1 2 0.215758186262 2
user_23/session_1 0 7 0 2 1 3 0.456385191145 4
user_23/session_1 0 7 1 3 1 3 0.232035772967 2
user_23/session_1 0 7 0 3 1 3 0.362530314909 3
user_23/session_1 0 9 0 3 -1 -4 0.341034104701 5
user_23/session_1 0 9 2 -4 -1 -4 0.391672300584 1
user_23/session_1 0 5 0 -4 1 2 0.239871390303 4
user_23/session_1 0 5 1 2 1 2 0.377495725002 2
user_23/session_1 0 7 0 2 1 3 0.213605111022 3
user_23/session_1 0 9 0 3 -1 -4 0.438966862115 5
user_23/session_1 0 9 2 -4 -1 -4 0.325615504511 3
user_23/session_1 0 9 0 -4 1 4 0.735301359357 -1
user_1/session_4 0 7 0 0 -1 -3 0.732859551414 4
user_1/session_4 0 7 1 -3 1 3 0.353917246935 3
user_1/session_4 0 9 0 3 1 4 0.457041767193 2
user_1/session_4 0 7 0 4 1 3 0.473678880426 1
user_1/session_4 0 5 0 3 1 2 0.473080459034 0
user_1/session_4 0 3 0 2 1 1 0.580576548471 4
user_1/session_4 0 3 1 1 1 1 0.377305180161 1
user_1/session_4 0 5 0 1 1 2 0.475256590905 5
user_1/session_4 0 5 2 2 1 2 0.467793272701 0
user_1/session_4 0 3 0 2 1 1 0.17482936331 4
user_1/session_4 0 3 1 1 1 1 0.364482152549 0
user_1/session_4 0 3 0 1 1 1 0.270903490193 1
user_1/session_4 0 5 0 1 1 2 0.537378737219 5
user_1/session_4 0 5 2 2 -1 -2 0.47213714961 2
user_1/session_4 0 7 0 -2 -1 -3 0.494123989791 4
user_1/session_4 0 7 1 -3 1 3 0.332629424246 2
user_1/session_4 0 7 0 3 1 3 0.497103064912 3
user_1/session_4 0 9 0 3 -1 -4 0.553710553954 5
user_1/session_4 0 9 2 -4 1 4 0.421883753151 1
user_1/session_4 0 5 0 4 1 2 0.654230005662 4
user_1/session_4 0 5 1 2 1 2 0.390820011297 2
user_1/session_4 0 7 0 2 1 3 0.438759309768 3
user_1/session_4 0 9 0 3 -1 -4 0.255513521105 5
user_1/session_4 0 9 2 -4 -1 -4 0.46896026052 3
user_1/session_4 0 9 0 -4 -1 -4 0.487319547304 -1
user_1/session_5 2 5 0 0 1 2 0.339470971264 2
user_1/session_5 2 7 0 2 -1 -3 0.481548258476 4
user_1/session_5 2 7 1 -3 1 3 0.376077275945 3
user_1/session_5 2 9 0 3 -1 -4 0.422357327517 2
user_1/session_5 2 7 0 -4 1 3 0.470251046836 1
user_1/session_5 2 5 0 3 1 2 0.495809198247 0
user_1/session_5 2 3 0 2 1 1 0.330449472739 2
user_1/session_5 2 7 0 1 -1 -3 0.435123166505 3
user_1/session_5 2 9 0 -3 1 4 0.454103768943 5
user_1/session_5 2 9 2 4 -1 -4 0.404568713935 3
user_1/session_5 2 9 0 -4 1 4 0.513182665826 4
user_1/session_5 2 9 1 4 -1 -4 0.453592494976 1
user_1/session_5 2 5 0 -4 1 2 0.456328699904 1
user_1/session_5 2 5 0 2 1 2 0.422250770569 0
user_1/session_5 2 3 0 2 1 1 0.405626490515 5
user_1/session_5 2 3 2 1 1 1 0.467885307265 2
user_1/session_5 2 7 0 1 1 3 0.479269572996 3
user_1/session_5 2 9 0 3 -1 -4 0.484035003647 2
user_1/session_5 2 7 0 -4 -1 -3 0.56248349595 1
user_1/session_5 2 5 0 -3 1 2 0.393218916177 4
user_1/session_5 2 5 1 2 -1 -2 0.410201258098 0
user_1/session_5 2 3 0 -2 1 1 0.307681049219 4
user_1/session_5 2 3 1 1 1 1 0.568352484437 3
user_1/session_5 2 9 0 1 1 4 0.323201156697 2
user_1/session_5 2 7 0 4 -1 -3 0.429838375769 -1
