ID length robot_feedback previous_score current_result current_score engagement action
user_23/session_1 7 0 0 -1 -3 0.189477135382 4
user_23/session_1 7 1 -3 -1 -3 0.135149331111 3
user_23/session_1 9 0 -3 -1 -4 0.200143702772 2
user_23/session_1 7 0 -4 1 3 0.195860445931 1
user_23/session_1 5 0 3 1 2 0.187266467823 0
user_23/session_1 3 0 2 1 1 0.168982039041 4
user_23/session_1 3 1 1 1 1 0.109030761128 1
user_23/session_1 5 0 1 1 2 0.140948783881 5
user_23/session_1 5 2 2 1 2 0.165253700927 0
user_23/session_1 3 0 2 1 1 0.126491658491 4
user_23/session_1 3 1 1 1 1 0.181064315627 0
user_23/session_1 3 0 1 1 1 0.167464401818 1
user_23/session_1 5 0 1 1 2 0.146655868521 5
user_23/session_1 5 2 2 1 2 0.151070697086 2
user_23/session_1 7 0 2 1 3 0.234880915686 4
user_23/session_1 7 1 3 1 3 0.156740169225 2
user_23/session_1 7 0 3 1 3 0.202191327508 3
user_23/session_1 9 0 3 -1 -4 0.194704212429 5
user_23/session_1 9 2 -4 -1 -4 0.21234146087 1
user_23/session_1 5 0 -4 1 2 0.159469309298 4
user_23/session_1 5 1 2 1 2 0.207403769445 2
user_23/session_1 7 0 2 1 3 0.150320782476 3
user_23/session_1 9 0 3 -1 -4 0.228814123788 5
user_23/session_1 9 2 -4 -1 -4 0.189333924697 3
user_23/session_1 9 0 -4 1 4 0.332027223268 -1
user_1/session_4 7 0 0 -1 -3 0.490723100269 4
user_1/session_4 7 1 -3 1 3 0.27009392203 3
user_1/session_4 9 0 3 1 4 0.330135458411 2
user_1/session_4 7 0 4 1 3 0.339821979493 1
user_1/session_4 5 0 3 1 2 0.339473564396 0
user_1/session_4 3 0 2 1 1 0.402060331817 4
user_1/session_4 3 1 1 1 1 0.283710930286 1
user_1/session_4 5 0 1 1 2 0.340740559874 5
user_1/session_4 5 2 2 1 2 0.336395239378 0
user_1/session_4 3 0 2 1 1 0.165824717643 4
user_1/session_4 3 1 1 1 1 0.276245060123 0
user_1/session_4 3 0 1 1 1 0.221761348137 1
user_1/session_4 5 0 1 1 2 0.376909543726 5
user_1/session_4 5 2 2 -1 -2 0.338924347323 2
user_1/session_4 7 0 -2 -1 -3 0.351725606047 4
user_1/session_4 7 1 -3 1 3 0.257699647834 2
user_1/session_4 7 0 3 1 3 0.35346009409 3
user_1/session_4 9 0 3 -1 -4 0.386418313961 5
user_1/session_4 9 2 -4 1 4 0.309665630539 1
user_1/session_4 5 0 4 1 2 0.444943117777 4
user_1/session_4 5 1 2 1 2 0.291579584834 2
user_1/session_4 7 0 2 1 3 0.319490979001 3
user_1/session_4 9 0 3 -1 -4 0.212800943894 5
user_1/session_4 9 2 -4 -1 -4 0.337074687306 3
user_1/session_4 9 0 -4 -1 -4 0.347763898588 -1
user_1/session_5 5 0 0 1 2 0.237074095767 2
user_1/session_5 7 0 2 -1 -3 0.308847414503 4
user_1/session_5 7 1 -3 1 3 0.255566537628 3
user_1/session_5 9 0 3 -1 -4 0.278945875437 2
user_1/session_5 7 0 -4 1 3 0.30314039132 1
user_1/session_5 5 0 3 1 2 0.316051627053 0
user_1/session_5 3 0 2 1 1 0.23251669675 2
user_1/session_5 7 0 1 -1 -3 0.285394806498 3
user_1/session_5 9 0 -3 1 4 0.294983255541 5
user_1/session_5 9 2 4 -1 -4 0.269959584542 3
user_1/session_5 9 0 -4 1 4 0.324828198246 4
user_1/session_5 9 1 4 -1 -4 0.294724974783 1
user_1/session_5 5 0 -4 1 2 0.296107226037 1
user_1/session_5 5 0 2 1 2 0.278892045962 0
user_1/session_5 3 0 2 1 1 0.270493942545 5
user_1/session_5 3 2 1 1 1 0.301945288404 2
user_1/session_5 7 0 1 1 3 0.307696288785 3
user_1/session_5 9 0 3 -1 -4 0.310103645933 2
user_1/session_5 7 0 -4 -1 -3 0.349733545637 1
user_1/session_5 5 0 -3 1 2 0.264225996379 4
user_1/session_5 5 1 2 -1 -2 0.272804982251 0
user_1/session_5 3 0 -2 1 1 0.221014750517 4
user_1/session_5 3 1 1 1 1 0.352698388151 3
user_1/session_5 9 0 1 1 4 0.228855058019 2
user_1/session_5 7 0 4 -1 -3 0.28272508372 -1
user_59/session_1 7 0 0 -1 -3 0.220070288465 3
user_59/session_1 9 0 -3 -1 -4 0.254660765857 4
user_59/session_1 9 1 -4 -1 -4 0.196930337796 1
user_59/session_1 5 0 -4 1 2 0.204230713985 1
user_59/session_1 5 0 2 1 2 0.193897086172 0
user_59/session_1 3 0 2 1 1 0.164304843873 5
user_59/session_1 3 2 1 1 1 0.127025694393 2
user_59/session_1 7 0 1 1 3 0.169143399013 1
user_59/session_1 5 0 3 1 2 0.167945385987 0
user_59/session_1 3 0 2 1 1 0.166491584639 4
user_59/session_1 3 1 1 1 1 0.121994132368 1
user_59/session_1 5 0 1 1 2 0.128508443042 5
user_59/session_1 5 2 2 1 2 0.137933923424 2
user_59/session_1 7 0 2 -1 -3 0.183681777952 3
user_59/session_1 9 0 -3 1 4 0.202363235637 4
user_59/session_1 9 1 4 -1 -4 0.254129542121 3
user_59/session_1 9 0 -4 1 4 0.238963159711 2
user_59/session_1 7 0 4 1 3 0.30093514029 2
user_59/session_1 7 0 3 1 3 0.257059341344 1
user_59/session_1 5 0 3 1 2 0.185152770756 5
user_59/session_1 5 2 2 1 2 0.152337167851 2
user_59/session_1 7 0 2 -1 -3 0.166902867373 0
